epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6392417550086975,0.6113916039466858,0.6768956780433655,0.5626912117004395
1,0.7803400158882141,0.5249356031417847,0.7457929253578186,0.5182995796203613
2,0.8248974084854126,0.48216885328292847,0.7685607075691223,0.4973442852497101
3,0.8475669622421265,0.45047059655189514,0.7893486618995667,0.4785911738872528
4,0.8641782402992249,0.4238603711128235,0.8146901726722717,0.4563366770744324
5,0.8757084012031555,0.39992767572402954,0.8168679475784302,0.4492030441761017
6,0.8901700377464294,0.3786567151546478,0.8190457224845886,0.4426659643650055
7,0.8977916836738586,0.35905352234840393,0.8273609280586243,0.431292325258255
8,0.9075630307197571,0.3395683467388153,0.8257770538330078,0.42989271879196167
0,0.7396911978721619,0.5347656011581421,0.7851910591125488,0.45990699529647827
1,0.8327144980430603,0.407557874917984,0.8152840733528137,0.41024860739707947
0,0.7629470229148865,0.4928060472011566,0.8251831531524658,0.3989417552947998
1,0.8520617485046387,0.3540911376476288,0.8463670611381531,0.3582354485988617
2,0.875903844833374,0.3075217306613922,0.8556721210479736,0.3377443253993988
3,0.8948602676391602,0.27374640107154846,0.8594337701797485,0.32635676860809326
4,0.9067813158035278,0.24808529019355774,0.8614135980606079,0.31990671157836914
5,0.9159663915634155,0.22751523554325104,0.8637893199920654,0.3172895312309265
6,0.9251514673233032,0.21154925227165222,0.8627994656562805,0.3188142478466034
7,0.9294508695602417,0.20084457099437714,0.8622055053710938,0.3237477242946625
8,0.9249560236930847,0.19813920557498932,0.8653731942176819,0.3220601975917816
9,0.9331639409065247,0.18365637958049774,0.8786379098892212,0.307775616645813
10,0.9282782673835754,0.19137726724147797,0.8663631081581116,0.32031506299972534
11,0.924369752407074,0.18859639763832092,0.8699267506599426,0.31787627935409546
12,0.9206566214561462,0.19579602777957916,0.8552761673927307,0.36438992619514465
13,0.9228063225746155,0.1848238706588745,0.828548789024353,0.45159515738487244
14,0.9423490166664124,0.1505441963672638,0.8451792001724243,0.394378125667572
0,0.6191127896308899,0.6916788816452026,0.7697485685348511,0.6598411798477173
1,0.7377369403839111,0.6265178322792053,0.7911304831504822,0.5928654074668884
2,0.8041821122169495,0.5691578388214111,0.8194416761398315,0.5513038039207458
3,0.8348641991615295,0.5282601714134216,0.831914484500885,0.5218623280525208
4,0.8547977209091187,0.4953058362007141,0.842803418636322,0.499288946390152
5,0.8696501851081848,0.46709296107292175,0.8471589684486389,0.47977644205093384
6,0.8811804056167603,0.4416739046573639,0.8497326970100403,0.4627651870250702
7,0.8931014537811279,0.4185698628425598,0.8517125248908997,0.4491228461265564
8,0.9009184837341309,0.3976373076438904,0.8550782203674316,0.4362223148345947
9,0.9097127318382263,0.3791736960411072,0.8584438562393188,0.42535272240638733
10,0.9153801202774048,0.3600727319717407,0.8586418628692627,0.4175105690956116
11,0.920265793800354,0.34321752190589905,0.8562660813331604,0.4132442772388458
12,0.9261285662651062,0.3287732005119324,0.8584438562393188,0.4068010151386261
13,0.9300371408462524,0.31469863653182983,0.8578499555587769,0.40173783898353577
14,0.9337502717971802,0.299983412027359,0.8554741740226746,0.4034218192100525
15,0.9380496144294739,0.2858453392982483,0.8574539422988892,0.4003421664237976
16,0.9433261752128601,0.2727617919445038,0.8614135980606079,0.3915453851222992
17,0.9458667039871216,0.26161113381385803,0.8633933663368225,0.38190361857414246
18,0.9456713199615479,0.25173231959342957,0.8647792339324951,0.37785351276397705
19,0.9493843913078308,0.24132832884788513,0.8657691478729248,0.37386101484298706
